movieid,title,cluster_no,rating
1,Toy Story,11,3.92
2,Jumanji,11,3.43
3,Grumpier Old Men,21,3.26
4,Waiting to Exhale,10,2.36
5,Father of the Bride Part II,1,3.07
6,Heat,8,3.95
7,Sabrina,21,3.39
915,Sabrina,21,3.39
8,Tom and Huck,11,2.88
9,Sudden Death,14,3.12
10,GoldenEye,6,3.5
11,"American President, The",10,3.67
12,Dracula: Dead and Loving It,1,2.42
13,Balto,11,3.12
14,Nixon,0,3.83
15,Cutthroat Island,6,3.0
16,Casino,16,3.93
17,Sense and Sensibility,5,3.78
18,Four Rooms,1,3.7
19,Ace Ventura: When Nature Calls,1,2.73
20,Money Train,8,2.5
21,Get Shorty,20,3.49
22,Copycat,16,3.22
23,Assassins,8,3.12
24,Powder,0,3.12
25,Leaving Las Vegas,5,3.62
26,Othello,0,3.5
27,Now and Then,0,3.33
28,Persuasion,5,4.04
74508,Persuasion,5,4.04
29,"City of Lost Children, The (Cité des enfants perdus, La)",9,4.01
30,Shanghai Triad (Yao a yao yao dao waipo qiao),16,3.0
31,Dangerous Minds,0,3.18
32,Twelve Monkeys (a.k.a. 12 Monkeys),4,3.98
34,Babe,0,3.65
36,Dead Man Walking,16,3.84
38,It Takes Two,1,2.12
39,Clueless,21,3.29
40,"Cry, the Beloved Country",0,4.25
41,Richard III,0,3.7
42,Dead Presidents,19,3.0
43,Restoration,0,3.19
44,Mortal Kombat,6,2.54
45,To Die For,7,3.31
46,How to Make an American Quilt,5,3.07
47,Seven (a.k.a. Se7en),4,3.98
48,Pocahontas,5,3.15
49,When Night Is Falling,5,3.0
50,"Usual Suspects, The",8,4.24
52,Mighty Aphrodite,10,3.46
53,Lamerica,0,5.0
54,"Big Green, The",1,2.33
55,Georgia,0,4.0
57,Home for the Holidays,0,3.06
58,"Postman, The (Postino, Il)",10,4.03
60,"Indian in the Cupboard, The",11,3.24
61,Eye for an Eye,13,3.75
62,Mr. Holland's Opus,0,3.71
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,20,2.71
64,Two if by Sea,21,2.2
65,Bio-Dome,1,2.53
66,Lawnmower Man 2: Beyond Cyberspace,12,2.5
68,French Twist (Gazon maudit),21,3.4
69,Friday,1,3.78
70,From Dusk Till Dawn,15,3.51
71,Fair Game,14,1.7
72,Kicking and Screaming,7,3.21
73,"Misérables, Les",0,3.48
1873,"Misérables, Les",5,3.48
99149,"Misérables, Les",5,3.48
99532,"Misérables, Les",5,3.48
74,Bed of Roses,5,4.0
75,Big Bully,7,2.2
76,Screamers,12,3.4
77,Nico Icon,3,4.0
78,"Crossing Guard, The",8,3.33
79,"Juror, The",13,2.76
80,"White Balloon, The (Badkonake sefid)",0,4.0
81,Things to Do in Denver When You're Dead,5,3.11
82,Antonia's Line (Antonia),7,3.88
83,Once Upon a Time... When We Were Colored,5,3.0
85,Angels and Insects,5,3.86
86,White Squall,14,3.97
87,Dunston Checks In,1,2.5
88,Black Sheep,1,3.03
55553,Black Sheep,1,3.03
89,Nick of Time,12,3.25
92,Mary Reilly,13,2.62
93,Vampire in Brooklyn,21,2.83
94,Beautiful Girls,10,3.95
95,Broken Arrow,6,3.02
54121,Broken Arrow,5,3.02
96,In the Bleak Midwinter,7,3.5
97,"Hate (Haine, La)",16,3.9
99,Heidi Fleiss: Hollywood Madam,3,5.0
100,City Hall,13,2.79
101,Bottle Rocket,21,3.78
102,Mr. Wrong,1,2.4
103,Unforgettable,4,3.0
104,Happy Gilmore,1,3.44
105,"Bridges of Madison County, The",5,3.28
106,Nobody Loves Me (Keiner liebt mich),7,4.0
107,Muppet Treasure Island,11,3.33
108,Catwalk,3,4.0
110,Braveheart,14,4.03
111,Taxi Driver,16,4.11
112,Rumble in the Bronx (Hont faan kui),19,3.54
113,Before and After,0,3.33
116,Anne Frank Remembered,3,3.9
117,"Young Poisoner's Handbook, The",16,3.0
118,If Lucy Fell,21,2.5
119,"Steal Big, Steal Little",1,3.0
121,"Boys of St. Vincent, The",0,4.0
122,Boomerang,21,2.66
123,Chungking Express (Chung Hing sam lam),5,4.38
125,Flirting With Disaster,1,3.58
126,"NeverEnding Story III, The",11,2.0
128,Jupiter's Wife,3,3.0
129,Pie in the Sky,21,2.0
132,Jade,4,2.83
135,Down Periscope,1,2.95
137,Man of the Year,3,2.62
48593,Man of the Year,1,2.62
140,Up Close and Personal,5,3.5
141,"Birdcage, The",1,3.49
144,"Brothers McMullen, The",1,3.33
145,Bad Boys,8,3.25
146,"Amazing Panda Adventure, The",11,3.33
147,"Basketball Diaries, The",0,3.47
148,"Awfully Big Adventure, An",0,5.0
149,Amateur,16,2.0
150,Apollo 13,0,3.85
151,Rob Roy,14,3.55
152,"Addiction, The",0,1.5
153,Batman Forever,19,2.92
154,Beauty of the Day (Belle de jour),0,3.88
155,Beyond Rangoon,0,2.42
156,Blue in the Face,7,3.33
157,Canadian Bacon,1,2.86
158,Casper,11,2.81
159,Clockers,16,2.89
160,Congo,18,2.88
161,Crimson Tide,13,3.64
162,Crumb,3,4.21
163,Desperado,14,3.56
164,Devil in a Blue Dress,8,3.32
165,Die Hard: With a Vengeance,8,3.56
166,"Doom Generation, The",20,2.83
168,First Knight,5,3.08
169,Free Willy 2: The Adventure Home,0,2.4
170,Hackers,8,3.23
171,Jeffrey,7,3.83
172,Johnny Mnemonic,12,2.68
173,Judge Dredd,19,2.67
174,Jury Duty,1,2.7
175,Kids,0,3.98
176,Living in Oblivion,1,4.31
177,Lord of Illusions,17,2.75
178,Love & Human Remains,7,1.0
179,Mad Love,5,1.5
180,Mallrats,21,3.4
181,Mighty Morphin Power Rangers: The Movie,14,2.26
183,Mute Witness,15,3.5
184,Nadja,0,3.5
185,"Net, The",8,3.04
186,Nine Months,21,2.82
187,Party Girl,1,4.12
188,"Prophecy, The",17,3.46
189,Reckless,1,3.0
190,Safe,4,3.0
94405,Safe,8,3.0
191,"Scarlet Letter, The",5,2.42
193,Showgirls,0,2.47
194,Smoke,7,3.67
195,Something to Talk About,10,3.1
196,Species,17,2.67
198,Strange Days,8,3.25
